DEFAULT,Train,numberofost:100,depth:100,datasetsize:100,Agent,estimator:Linear,buffer:Ordered,maximizer:UniformSampling,UniformSampling,numberofsample:5
154.39
156.09
150.98
155.36
167.95
162.27
161.75
160.56
159.3
163.4
169.44
DEFAULT,Train,numberofost:100,depth:100,datasetsize:100,Agent,estimator:Linear,buffer:Ordered,maximizer:UniformSampling,UniformSampling,numberofsample:5
163.46
156.65
159.95
163.68
159.1
164.9
151.13
158.81
154.75
158.78
154.0
